Benchmark	  "Entries=8"         "Entries=16"     "Entries=32"  "Entries=64"
BFS         10.77   11.56        13.359           14.103
MG          64.14   68.23        72.252           74.12
FFT         34.19   46.32        57.271           61.84
GRAPPOLO    63.84   69.071       73.622           75.92
HPCG        33.31   46.152       55.347           57.48
NQUEENS     32.21   41.26        47.047           51.31
SG          47.68   55.82        62.417           65.03
SORT        37.9    46.87        53.556           57.271
SP          38.49   50.64        61.113           65.71
SPARSELU    46.069  60.23        69.907           73.638
SSCA2      16.247   25.612       37.856           40.142
SSSP       26.12    28.913       33.491           35.85
